Biomarker,Causal Value
BFRF3_IgA,0.33236460998118367
HP0993_IgA,0.05332842239576328
rpsR_IgA,0.10710134074804507
porA_IgA,0.053295105077024105
HP0386_IgA,0.053295105077024105
H. Pylori1_IgA,0.1459515189563577
HP1057_IgA,0.09788143296532309
HP1223_IgA,0.060814097338453214
HP1225_IgA,0.0862577730709128
rplO_IgA,0.06952443236611262
HP0236_IgA,0.06883096107958023
H. Pylori2_IgA,0.07239298239915441
HP0938_IgA,0.07595577583557298
HP1008_IgA,0.09640021493552407
HP1065_IgA,0.05042507632301008
HP0334_IgA,0.051835721774750584
H. Pylori3_IgA,0.08758977988584474
HP0273_IgA,0.07222213800006182
HP1029_IgA,0.011669074987571559
HP1389_IgA,0.08759100793106633
HP0448_IgA,0.0532475391562229
HP0898_IgA,0.0532475391562229
HP1125_IgA,0.11998356774384128
Streptococcus_gallolyticus1_IgA,0.11975123992012876
pcsB_IgA,0.13622108417081635
H. Pylori4_IgA,0.05934936487372763
HP1577_IgA,0.05862294140753463
HP0437_IgA,0.03909940869387907
HP1268_IgA,0.06948401099626884
HP0571_IgA,0.059347941392277524
HP0800_IgA,0.08682929079782528
HP0496_IgA,0.05861949904043565
rplQ_IgA,0.05861949904043565
Streptococcus_gallolyticus2_IgA,0.067100852080397
rbfA_IgA,0.058618883837031434
HP1287_IgA,0.08823861718798857
dut_IgA,0.07230923543913495
HP0330_IgA,0.06723334662371663
sipA_IgA,0.06709631932958685
rplI_IgA,0.05861555161419119
HP1334_IgA,0.05934023743998334
HP1542_IgA,0.08682650169752164
H. Pylori7_IgA,0.10664138672198872
Streptococcus_gallolyticus3_IgA,0.06709184831381111
flgC_IgA,0.07058483900652751
HP0276_IgA,0.09457610661710253
HP1096_IgA,0.05860943581258554
HP0368_IgA,0.05860943581258554
HP0512_IgA,0.05860943581258554
EBNA-LP_IgA,0.07863011574804903
Fusobacterium_nucleatum1_IgA,0.06708657611747851
A73_IgA,0.06708657611747851
HP0962_IgA,0.04236265204377842
HP0148_IgA,0.06696328846845061
rpsE_IgA,0.05933179859041971
HP0573_IgA,0.058607049927727396
recR_IgA,0.06726797306644086
HP0835_IgA,0.0694748908439518
rpsO_IgA,0.0694748908439518
H. Pylori16_IgA,0.0694748908439518
HP0209_IgA,0.05860562110783102
HP0047_IgA,0.04236335523859528
HP1450_IgA,0.09691170002001633
HP1383_IgA,0.04236269869312604
HP1347_IgA,0.0586046696207612
HP0238_IgA,0.0586046696207612
HP1485_IgA,0.06947427661599113
H. Pylori19_IgA,0.04236333012136829
H. Pylori20_IgA,0.08787913142803984
HP0127_IgA,0.06783039630850987
ispDF_IgA,0.06184470621256072
smpB_IgA,0.06947342457506735
HP1337_IgA,0.06695453091016358
TFAP2A_cGST_IgA,0.06695453091016358
HP1568_IgA,0.06721260744784395
HP1359_IgA,0.05323852349841951
H. Pylori24_IgA,0.05932456407731532
HP1016_IgA,0.05932456407731532
nusB_IgA,0.05860097126419402
H. Pylori26_IgA,0.06685781913252291
HP0518_IgA,0.05323928678018391
BLRF2_IgA,0.08656256268504217
H. Pylori28_IgA,0.06827741916002732
H. Pylori29_IgA,0.07782305702145446
rpsI_IgA,0.05859897433163185
rplC_IgA,0.042361670086539696
HP0404_IgA,0.058598988397045866
HP0854_IgA,0.08889893186448893
HP1269_IgA,0.0423616730020163
